SimulationSecond,ReceiveRate,PacketsReceived,NumberOfSinks,RoutingProtocol,TransmissionPower
0,0,0,10,OLSR,15
1,0,0,10,OLSR,15
2,0,0,10,OLSR,15
3,0,0,10,OLSR,15
4,0,0,10,OLSR,15
5,0,0,10,OLSR,15
6,0,0,10,OLSR,15
7,0,0,10,OLSR,15
8,0,0,10,OLSR,15
9,0,0,10,OLSR,15
10,0,0,10,OLSR,15
11,0,0,10,OLSR,15
12,0,0,10,OLSR,15
13,0,0,10,OLSR,15
14,0,0,10,OLSR,15
15,0,0,10,OLSR,15
16,0,0,10,OLSR,15
17,0,0,10,OLSR,15
18,0,0,10,OLSR,15
19,0,0,10,OLSR,15
20,0,0,10,OLSR,15
21,3.584,7,10,OLSR,15
22,9.216,18,10,OLSR,15
23,11.776,23,10,OLSR,15
24,12.288,24,10,OLSR,15
25,12.8,25,10,OLSR,15
26,10.24,20,10,OLSR,15
27,8.704,17,10,OLSR,15
28,8.192,16,10,OLSR,15
29,8.192,16,10,OLSR,15
30,10.24,20,10,OLSR,15
31,6.144,12,10,OLSR,15
32,6.144,12,10,OLSR,15
33,4.096,8,10,OLSR,15
34,6.144,12,10,OLSR,15
35,8.704,17,10,OLSR,15
36,15.872,31,10,OLSR,15
37,18.432,36,10,OLSR,15
38,17.408,34,10,OLSR,15
39,13.824,27,10,OLSR,15
40,14.848,29,10,OLSR,15
41,13.312,26,10,OLSR,15
42,14.336,28,10,OLSR,15
43,11.776,23,10,OLSR,15
44,9.216,18,10,OLSR,15
45,9.216,18,10,OLSR,15
46,9.216,18,10,OLSR,15
47,13.312,26,10,OLSR,15
48,14.336,28,10,OLSR,15
49,13.824,27,10,OLSR,15
50,12.8,25,10,OLSR,15
51,8.704,17,10,OLSR,15
52,7.68,15,10,OLSR,15
53,11.776,23,10,OLSR,15
54,12.288,24,10,OLSR,15
55,9.216,18,10,OLSR,15
56,10.24,20,10,OLSR,15
57,12.288,24,10,OLSR,15
58,11.776,23,10,OLSR,15
59,11.264,22,10,OLSR,15
60,9.728,19,10,OLSR,15
61,11.264,22,10,OLSR,15
62,11.776,23,10,OLSR,15
63,11.776,23,10,OLSR,15
64,12.288,24,10,OLSR,15
65,12.8,25,10,OLSR,15
66,10.24,20,10,OLSR,15
67,11.264,22,10,OLSR,15
68,10.24,20,10,OLSR,15
69,11.264,22,10,OLSR,15
70,15.36,30,10,OLSR,15
71,11.776,23,10,OLSR,15
72,10.24,20,10,OLSR,15
73,10.24,20,10,OLSR,15
74,11.776,23,10,OLSR,15
75,6.144,12,10,OLSR,15
76,5.12,10,10,OLSR,15
77,5.632,11,10,OLSR,15
78,6.144,12,10,OLSR,15
79,7.68,15,10,OLSR,15
80,8.192,16,10,OLSR,15
81,6.656,13,10,OLSR,15
82,6.144,12,10,OLSR,15
83,6.144,12,10,OLSR,15
84,4.608,9,10,OLSR,15
85,5.12,10,10,OLSR,15
86,10.752,21,10,OLSR,15
87,10.752,21,10,OLSR,15
88,8.704,17,10,OLSR,15
89,8.192,16,10,OLSR,15
90,8.192,16,10,OLSR,15
91,9.216,18,10,OLSR,15
92,8.704,17,10,OLSR,15
93,7.168,14,10,OLSR,15
94,8.192,16,10,OLSR,15
95,13.824,27,10,OLSR,15
96,11.776,23,10,OLSR,15
97,10.24,20,10,OLSR,15
98,10.24,20,10,OLSR,15
99,9.216,18,10,OLSR,15
